거래선코드,거래선명,연월,n_orders,total_amount
CL-005,미래엔지니어링,2024-11,51,19000144
CL-005,미래엔지니어링,2024-12,56,25488079
CL-005,미래엔지니어링,2025-01,42,18919530
CL-005,미래엔지니어링,2025-02,56,25618472
CL-005,미래엔지니어링,2025-03,92,40977138
CL-005,미래엔지니어링,2025-04,116,50230770
CL-005,미래엔지니어링,2025-05,123,48692591
CL-005,미래엔지니어링,2025-06,166,67718311
CL-005,미래엔지니어링,2025-07,199,79213587
CL-005,미래엔지니어링,2025-08,119,45149414
CL-005,미래엔지니어링,2025-09,101,40698075
CL-005,미래엔지니어링,2025-10,87,36291392
CL-005,미래엔지니어링,2025-11,60,23661068
CL-005,미래엔지니어링,2025-12,65,28697264
CL-005,미래엔지니어링,2026-01,49,20947592
CL-005,미래엔지니어링,2026-02,47,17391927
CL-005,미래엔지니어링,2026-03,86,35196336
CL-005,미래엔지니어링,2026-04,166,69276521
CL-005,미래엔지니어링,2026-05,184,81646072
CL-005,미래엔지니어링,2026-06,234,100959226
CL-006,삼화공조설비,2024-07,162,71749913
CL-006,삼화공조설비,2024-08,111,47363899
CL-006,삼화공조설비,2024-09,91,37811579
CL-006,삼화공조설비,2024-10,74,37304148
CL-006,삼화공조설비,2024-11,54,24915217
CL-006,삼화공조설비,2024-12,50,20833467
CL-006,삼화공조설비,2025-01,41,21826070
CL-006,삼화공조설비,2025-02,52,25627771
CL-006,삼화공조설비,2025-03,79,36233528
CL-006,삼화공조설비,2025-04,112,48698530
CL-006,삼화공조설비,2025-05,117,51542656
CL-006,삼화공조설비,2025-06,162,74790288
CL-006,삼화공조설비,2025-07,156,63974976
CL-006,삼화공조설비,2025-08,137,61648078
CL-006,삼화공조설비,2025-09,103,47914808
CL-006,삼화공조설비,2025-10,72,31408354
CL-006,삼화공조설비,2025-11,49,18906185
CL-006,삼화공조설비,2025-12,44,21332281
CL-006,삼화공조설비,2026-01,42,16799230
CL-006,삼화공조설비,2026-02,48,23066529
CL-006,삼화공조설비,2026-03,69,31495631
CL-006,삼화공조설비,2026-04,159,75645540
CL-006,삼화공조설비,2026-05,207,80123041
CL-006,삼화공조설비,2026-06,219,103751801
CL-007,서울시스템에어컨,2024-07,142,73731364
CL-007,서울시스템에어컨,2024-08,132,51950034
CL-007,서울시스템에어컨,2024-09,94,37229683
CL-007,서울시스템에어컨,2024-10,70,31090881
CL-007,서울시스템에어컨,2024-11,58,22568502
CL-007,서울시스템에어컨,2024-12,43,22057117
CL-007,서울시스템에어컨,2025-01,49,22244179
CL-007,서울시스템에어컨,2025-02,46,20463702
CL-007,서울시스템에어컨,2025-03,91,39476065
CL-007,서울시스템에어컨,2025-04,112,56717511
CL-007,서울시스템에어컨,2025-05,103,42834357
CL-007,서울시스템에어컨,2025-06,171,73117637
CL-007,서울시스템에어컨,2025-07,155,53648943
CL-007,서울시스템에어컨,2025-08,124,54199965
CL-007,서울시스템에어컨,2025-09,102,37539504
CL-007,서울시스템에어컨,2025-10,65,26719778
CL-007,서울시스템에어컨,2025-11,52,27053939
CL-007,서울시스템에어컨,2025-12,31,15043594
CL-007,서울시스템에어컨,2026-01,37,14842345
CL-007,서울시스템에어컨,2026-02,55,26003303
CL-007,서울시스템에어컨,2026-03,94,33271608
CL-007,서울시스템에어컨,2026-04,173,76498414
CL-007,서울시스템에어컨,2026-05,193,77122362
CL-007,서울시스템에어컨,2026-06,243,108037341
CL-008,성심설비,2024-07,165,72751932
CL-008,성심설비,2024-08,133,52245996
CL-008,성심설비,2024-09,106,37005942
CL-008,성심설비,2024-10,72,27801794
CL-008,성심설비,2024-11,56,20898486
CL-008,성심설비,2024-12,62,30442722
CL-008,성심설비,2025-01,45,20678796
CL-008,성심설비,2025-02,69,24577106
CL-008,성심설비,2025-03,81,31661325
CL-008,성심설비,2025-04,119,50317995
CL-008,성심설비,2025-05,135,52283158
CL-008,성심설비,2025-06,175,74170591
CL-008,성심설비,2025-07,159,67874587
CL-008,성심설비,2025-08,162,64507986
CL-008,성심설비,2025-09,84,31372270
CL-008,성심설비,2025-10,85,35919204
CL-008,성심설비,2025-11,63,31558624
CL-008,성심설비,2025-12,62,25255861
CL-008,성심설비,2026-01,50,18738778
CL-008,성심설비,2026-02,61,26645123
CL-008,성심설비,2026-03,97,38302763
CL-008,성심설비,2026-04,172,71332291
CL-008,성심설비,2026-05,183,85190684
CL-008,성심설비,2026-06,252,108099311
CL-009,우진HVAC,2024-07,173,64408421
CL-009,우진HVAC,2024-08,157,77333541
CL-009,우진HVAC,2024-09,93,34184637
CL-009,우진HVAC,2024-10,71,26848236
CL-009,우진HVAC,2024-11,50,18521018
CL-009,우진HVAC,2024-12,53,22346643
CL-009,우진HVAC,2025-01,47,18354349
CL-009,우진HVAC,2025-02,73,28104989
CL-009,우진HVAC,2025-03,98,41861972
CL-009,우진HVAC,2025-04,110,44118603
CL-009,우진HVAC,2025-05,137,54708167
CL-009,우진HVAC,2025-06,182,80901015
CL-009,우진HVAC,2025-07,185,72688811
CL-009,우진HVAC,2025-08,148,61296813
CL-009,우진HVAC,2025-09,92,47060513
CL-009,우진HVAC,2025-10,77,31724915
CL-009,우진HVAC,2025-11,59,24668137
CL-009,우진HVAC,2025-12,57,26871378
CL-009,우진HVAC,2026-01,37,17204592
CL-009,우진HVAC,2026-02,54,27539782
CL-009,우진HVAC,2026-03,85,33928888
CL-009,우진HVAC,2026-04,175,73144412
CL-009,우진HVAC,2026-05,212,87070993
CL-009,우진HVAC,2026-06,262,102072627
CL-010,정우설비산업,2024-07,179,64332760
CL-010,정우설비산업,2024-08,142,50150021
CL-010,정우설비산업,2024-09,95,36418005
CL-010,정우설비산업,2024-10,87,30410419
CL-010,정우설비산업,2024-11,52,24730748
CL-010,정우설비산업,2024-12,63,27414882
CL-010,정우설비산업,2025-01,48,20870606
CL-010,정우설비산업,2025-02,38,17483161
CL-010,정우설비산업,2025-03,74,31915717
CL-010,정우설비산업,2025-04,106,41212159
CL-010,정우설비산업,2025-05,142,65215687
CL-010,정우설비산업,2025-06,172,68927703
CL-010,정우설비산업,2025-07,157,56042641
CL-010,정우설비산업,2025-08,119,51339307
CL-010,정우설비산업,2025-09,86,33888710
CL-010,정우설비산업,2025-10,81,33656007
CL-010,정우설비산업,2025-11,60,18717777
CL-010,정우설비산업,2025-12,56,23515318
CL-010,정우설비산업,2026-01,47,16195881
CL-010,정우설비산업,2026-02,63,33520050
CL-010,정우설비산업,2026-03,114,46633609
CL-010,정우설비산업,2026-04,173,75825896
CL-010,정우설비산업,2026-05,185,80751105
CL-010,정우설비산업,2026-06,213,85637060
CL-011,제일냉난방,2024-07,170,73276054
CL-011,제일냉난방,2024-08,129,53305608
CL-011,제일냉난방,2024-09,100,49677691
CL-011,제일냉난방,2024-10,76,36386259
CL-011,제일냉난방,2024-11,50,25661244
CL-011,제일냉난방,2024-12,60,21541919
CL-011,제일냉난방,2025-01,50,24366982
CL-011,제일냉난방,2025-02,51,23588607
CL-011,제일냉난방,2025-03,92,39088257
CL-011,제일냉난방,2025-04,122,46683181
CL-011,제일냉난방,2025-05,147,65489844
CL-011,제일냉난방,2025-06,182,75893827
CL-011,제일냉난방,2025-07,161,71587894
CL-011,제일냉난방,2025-08,159,66259416
CL-011,제일냉난방,2025-09,109,42362011
CL-011,제일냉난방,2025-10,74,27292423
CL-011,제일냉난방,2025-11,54,25897409
CL-011,제일냉난방,2025-12,62,29037649
CL-011,제일냉난방,2026-01,41,18771826
CL-011,제일냉난방,2026-02,63,28476337
CL-011,제일냉난방,2026-03,71,32197555
CL-011,제일냉난방,2026-04,175,77666704
CL-011,제일냉난방,2026-05,204,87817513
CL-011,제일냉난방,2026-06,233,103833905
CL-012,코엔지니어링,2024-07,155,60269794
CL-012,코엔지니어링,2024-08,111,46321599
CL-012,코엔지니어링,2024-09,74,33126605
CL-012,코엔지니어링,2024-10,72,32152858
CL-012,코엔지니어링,2024-11,52,26053224
CL-012,코엔지니어링,2024-12,44,21462434
CL-012,코엔지니어링,2025-01,34,15017429
CL-012,코엔지니어링,2025-02,52,22407223
CL-012,코엔지니어링,2025-03,73,30388714
CL-012,코엔지니어링,2025-04,95,36277945
CL-012,코엔지니어링,2025-05,124,46910062
CL-012,코엔지니어링,2025-06,155,76764638
CL-012,코엔지니어링,2025-07,184,78650034
CL-012,코엔지니어링,2025-08,129,56837765
CL-012,코엔지니어링,2025-09,96,35632548
CL-012,코엔지니어링,2025-10,67,28281324
CL-012,코엔지니어링,2025-11,68,27462842
CL-012,코엔지니어링,2025-12,58,31781141
CL-012,코엔지니어링,2026-01,34,14255572
CL-012,코엔지니어링,2026-02,60,29026437
CL-012,코엔지니어링,2026-03,100,40532634
CL-012,코엔지니어링,2026-04,151,75429737
CL-012,코엔지니어링,2026-05,178,84842792
CL-012,코엔지니어링,2026-06,214,93336535
CL-013,태평양냉난방,2024-07,141,61266601
CL-013,태평양냉난방,2024-08,116,50832719
CL-013,태평양냉난방,2024-09,90,34928329
CL-013,태평양냉난방,2024-10,77,35175285
CL-013,태평양냉난방,2024-11,46,17754667
CL-013,태평양냉난방,2024-12,51,18813255
CL-013,태평양냉난방,2025-01,48,20382806
CL-013,태평양냉난방,2025-02,54,26961186
CL-013,태평양냉난방,2025-03,69,34118932
CL-013,태평양냉난방,2025-04,91,39635760
CL-013,태평양냉난방,2025-05,140,55570300
CL-013,태평양냉난방,2025-06,151,63719587
CL-013,태평양냉난방,2025-07,157,75591954
CL-013,태평양냉난방,2025-08,111,43494195
CL-013,태평양냉난방,2025-09,76,31910169
CL-013,태평양냉난방,2025-10,69,25284964
CL-013,태평양냉난방,2025-11,45,18803702
CL-013,태평양냉난방,2025-12,59,28704660
CL-013,태평양냉난방,2026-01,45,23874800
CL-013,태평양냉난방,2026-02,46,20360380
CL-013,태평양냉난방,2026-03,86,42329325
CL-013,태평양냉난방,2026-04,152,74624834
CL-013,태평양냉난방,2026-05,172,75635868
CL-013,태평양냉난방,2026-06,212,107239888
CL-014,하나공조상사,2024-07,168,66533930
CL-014,하나공조상사,2024-08,139,45094979
CL-014,하나공조상사,2024-09,103,43933625
CL-014,하나공조상사,2024-10,80,30368516
CL-014,하나공조상사,2024-11,57,24199502
CL-014,하나공조상사,2024-12,57,21560479
CL-014,하나공조상사,2025-01,46,22129035
CL-014,하나공조상사,2025-02,68,26250679
CL-014,하나공조상사,2025-03,93,31776448
CL-014,하나공조상사,2025-04,127,56262853
CL-014,하나공조상사,2025-05,144,55145027
CL-014,하나공조상사,2025-06,188,76277490
CL-014,하나공조상사,2025-07,176,66949063
CL-014,하나공조상사,2025-08,126,56526508
CL-014,하나공조상사,2025-09,91,34181562
CL-014,하나공조상사,2025-10,83,35697215
CL-014,하나공조상사,2025-11,65,30641468
CL-014,하나공조상사,2025-12,59,26258331
CL-014,하나공조상사,2026-01,52,22529831
CL-014,하나공조상사,2026-02,58,25041037
CL-014,하나공조상사,2026-03,105,43702127
CL-014,하나공조상사,2026-04,193,99037672
CL-014,하나공조상사,2026-05,197,77337613
CL-014,하나공조상사,2026-06,232,91165998
CL-015,한일에어시스템,2024-07,138,49196621
CL-015,한일에어시스템,2024-08,136,50983322
CL-015,한일에어시스템,2024-09,95,36557239
CL-015,한일에어시스템,2024-10,86,36692440
CL-015,한일에어시스템,2024-11,72,32230008
CL-015,한일에어시스템,2024-12,57,23817731
CL-015,한일에어시스템,2025-01,54,22161189
CL-015,한일에어시스템,2025-02,67,34626536
CL-015,한일에어시스템,2025-03,92,43856373
CL-015,한일에어시스템,2025-04,94,41654939
CL-015,한일에어시스템,2025-05,135,46711605
CL-015,한일에어시스템,2025-06,211,86312450
CL-015,한일에어시스템,2025-07,169,67390754
CL-015,한일에어시스템,2025-08,129,50542085
CL-015,한일에어시스템,2025-09,102,41880691
CL-015,한일에어시스템,2025-10,76,30003821
CL-015,한일에어시스템,2025-11,66,24766994
CL-015,한일에어시스템,2025-12,49,17731182
CL-015,한일에어시스템,2026-01,59,24576898
CL-015,한일에어시스템,2026-02,62,32586830
CL-015,한일에어시스템,2026-03,84,34756951
CL-015,한일에어시스템,2026-04,151,61353463
CL-015,한일에어시스템,2026-05,201,83693610
CL-015,한일에어시스템,2026-06,253,116554619
CL-016,신성설치,2024-07,176,74596003
CL-016,신성설치,2024-08,133,61615031
CL-016,신성설치,2024-09,89,42579107
CL-016,신성설치,2024-10,75,29724624
CL-016,신성설치,2024-11,44,21382118
CL-016,신성설치,2024-12,57,26216599
CL-016,신성설치,2025-01,59,21922887
CL-016,신성설치,2025-02,49,22887428
CL-016,신성설치,2025-03,81,33647275
CL-016,신성설치,2025-04,103,47852268
CL-016,신성설치,2025-05,144,56244708
CL-016,신성설치,2025-06,162,73694125
CL-016,신성설치,2025-07,152,63361690
CL-016,신성설치,2025-08,137,59003378
CL-016,신성설치,2025-09,106,39520023
CL-016,신성설치,2025-10,71,30619605
CL-016,신성설치,2025-11,64,28026064
CL-016,신성설치,2025-12,51,25107523
CL-016,신성설치,2026-01,41,18979123
CL-016,신성설치,2026-02,58,26201107
CL-016,신성설치,2026-03,86,37386338
CL-016,신성설치,2026-04,77,28132536
CL-016,신성설치,2026-05,110,45080391
CL-016,신성설치,2026-06,157,59964304
CL-017,대륙에어컨,2024-07,168,67301106
CL-017,대륙에어컨,2024-08,161,67128834
CL-017,대륙에어컨,2024-09,108,49829217
CL-017,대륙에어컨,2024-10,77,30002476
CL-017,대륙에어컨,2024-11,50,20847118
CL-017,대륙에어컨,2024-12,47,19827362
CL-017,대륙에어컨,2025-01,61,23180162
CL-017,대륙에어컨,2025-02,61,23937142
CL-017,대륙에어컨,2025-03,86,38381895
CL-017,대륙에어컨,2025-04,107,47147045
CL-017,대륙에어컨,2025-05,130,58207688
CL-017,대륙에어컨,2025-06,185,73507401
CL-017,대륙에어컨,2025-07,149,64459900
CL-017,대륙에어컨,2025-08,142,62179020
CL-017,대륙에어컨,2025-09,85,32008958
CL-017,대륙에어컨,2025-10,76,33675947
CL-017,대륙에어컨,2025-11,56,24716096
CL-017,대륙에어컨,2025-12,51,24686016
CL-017,대륙에어컨,2026-01,46,22595795
CL-017,대륙에어컨,2026-02,55,22235291
CL-017,대륙에어컨,2026-03,77,29597490
CL-017,대륙에어컨,2026-04,86,30486912
CL-017,대륙에어컨,2026-05,115,52090097
CL-017,대륙에어컨,2026-06,143,59485081
CL-018,미림설치,2024-07,214,88951377
CL-018,미림설치,2024-08,148,62359743
CL-018,미림설치,2024-09,104,35747352
CL-018,미림설치,2024-10,91,36474351
CL-018,미림설치,2024-11,68,31329526
CL-018,미림설치,2024-12,47,16629916
CL-018,미림설치,2025-01,45,15537716
CL-018,미림설치,2025-02,62,24645302
CL-018,미림설치,2025-03,100,43607040
CL-018,미림설치,2025-04,111,51260945
CL-018,미림설치,2025-05,126,48746750
CL-018,미림설치,2025-06,202,81153534
CL-018,미림설치,2025-07,149,59628190
CL-018,미림설치,2025-08,162,76155274
CL-018,미림설치,2025-09,107,51360141
CL-018,미림설치,2025-10,81,33727673
CL-018,미림설치,2025-11,55,31633614
CL-018,미림설치,2025-12,51,23798837
CL-018,미림설치,2026-01,36,17297574
CL-018,미림설치,2026-02,61,26544897
CL-018,미림설치,2026-03,103,47495430
CL-018,미림설치,2026-04,80,31401903
CL-018,미림설치,2026-05,93,32672047
CL-018,미림설치,2026-06,139,63002057
CL-019,청호설비,2024-07,158,70324649
CL-019,청호설비,2024-08,117,52237363
CL-019,청호설비,2024-09,101,41886597
CL-019,청호설비,2024-10,84,29571491
CL-019,청호설비,2024-11,46,18249721
CL-019,청호설비,2024-12,52,20237429
CL-019,청호설비,2025-01,47,21028919
CL-019,청호설비,2025-02,69,31793047
CL-019,청호설비,2025-03,76,26550980
CL-019,청호설비,2025-04,101,40865820
CL-019,청호설비,2025-05,150,65546499
CL-019,청호설비,2025-06,174,80502780
CL-019,청호설비,2025-07,163,66310610
CL-019,청호설비,2025-08,145,57082769
CL-019,청호설비,2025-09,103,52745120
CL-019,청호설비,2025-10,74,27825309
CL-019,청호설비,2025-11,52,26915357
CL-019,청호설비,2025-12,48,28765196
CL-019,청호설비,2026-01,50,20741271
CL-019,청호설비,2026-02,60,26995060
CL-019,청호설비,2026-03,73,32276197
CL-019,청호설비,2026-04,79,36112825
CL-019,청호설비,2026-05,86,32027720
CL-019,청호설비,2026-06,153,70663247
CL-020,온누리에어컨,2024-07,134,62117571
CL-020,온누리에어컨,2024-08,130,48565671
CL-020,온누리에어컨,2024-09,96,37502468
CL-020,온누리에어컨,2024-10,76,35161125
CL-020,온누리에어컨,2024-11,62,29181956
CL-020,온누리에어컨,2024-12,57,23482509
CL-020,온누리에어컨,2025-01,30,13904755
CL-020,온누리에어컨,2025-02,52,19462359
CL-020,온누리에어컨,2025-03,85,46756399
CL-020,온누리에어컨,2025-04,121,48212210
CL-020,온누리에어컨,2025-05,119,50868827
CL-020,온누리에어컨,2025-06,183,81275703
CL-020,온누리에어컨,2025-07,170,70927253
CL-020,온누리에어컨,2025-08,101,36849668
CL-020,온누리에어컨,2025-09,117,53509594
CL-020,온누리에어컨,2025-10,72,33898730
CL-020,온누리에어컨,2025-11,51,27506656
CL-020,온누리에어컨,2025-12,46,25609783
CL-020,온누리에어컨,2026-01,61,33349788
CL-020,온누리에어컨,2026-02,56,23839967
CL-020,온누리에어컨,2026-03,76,36835166
CL-020,온누리에어컨,2026-04,65,26001223
CL-020,온누리에어컨,2026-05,86,35002837
CL-020,온누리에어컨,2026-06,141,60738771
CL-021,한빛설치,2024-07,166,71591254
CL-021,한빛설치,2024-08,153,62517902
CL-021,한빛설치,2024-09,122,61911281
CL-021,한빛설치,2024-10,74,27599004
CL-021,한빛설치,2024-11,54,26692470
CL-021,한빛설치,2024-12,65,30099076
CL-021,한빛설치,2025-01,59,29674214
CL-021,한빛설치,2025-02,55,24012291
CL-021,한빛설치,2025-03,85,33790649
CL-021,한빛설치,2025-04,112,52944355
CL-021,한빛설치,2025-05,149,58175000
CL-021,한빛설치,2025-06,187,92166307
CL-021,한빛설치,2025-07,203,74467413
CL-021,한빛설치,2025-08,157,76293254
CL-021,한빛설치,2025-09,104,45553596
CL-021,한빛설치,2025-10,86,34505605
CL-021,한빛설치,2025-11,58,25559934
CL-021,한빛설치,2025-12,65,33237192
CL-021,한빛설치,2026-01,46,18936895
CL-021,한빛설치,2026-02,62,23887848
CL-021,한빛설치,2026-03,97,40556994
CL-021,한빛설치,2026-04,79,28948857
CL-021,한빛설치,2026-05,118,48470287
CL-021,한빛설치,2026-06,159,68751809
CL-022,진성설비,2024-07,187,78488670
CL-022,진성설비,2024-08,142,60709971
CL-022,진성설비,2024-09,111,40397212
CL-022,진성설비,2024-10,92,41745602
CL-022,진성설비,2024-11,67,30416248
CL-022,진성설비,2024-12,48,19647747
CL-022,진성설비,2025-01,55,21263369
CL-022,진성설비,2025-02,62,24423445
CL-022,진성설비,2025-03,105,40918082
CL-022,진성설비,2025-04,151,61866600
CL-022,진성설비,2025-05,149,57620817
CL-022,진성설비,2025-06,211,85818236
CL-022,진성설비,2025-07,210,79604823
CL-022,진성설비,2025-08,150,58674768
CL-022,진성설비,2025-09,106,49643006
CL-022,진성설비,2025-10,81,31184759
CL-022,진성설비,2025-11,66,26452002
CL-022,진성설비,2025-12,58,16849303
CL-022,진성설비,2026-01,61,22756635
CL-022,진성설비,2026-02,68,28495974
CL-022,진성설비,2026-03,108,43906902
CL-022,진성설비,2026-04,76,28458584
CL-022,진성설비,2026-05,114,45527899
CL-022,진성설비,2026-06,145,59762609
CL-023,유니온에어컨,2024-07,208,76310471
CL-023,유니온에어컨,2024-08,132,58535747
CL-023,유니온에어컨,2024-09,119,51539165
CL-023,유니온에어컨,2024-10,99,36175034
CL-023,유니온에어컨,2024-11,67,26411478
CL-023,유니온에어컨,2024-12,55,21195200
CL-023,유니온에어컨,2025-01,60,24036562
CL-023,유니온에어컨,2025-02,76,29770025
CL-023,유니온에어컨,2025-03,110,50874184
CL-023,유니온에어컨,2025-04,121,45078411
CL-023,유니온에어컨,2025-05,132,50640154
CL-023,유니온에어컨,2025-06,182,83736042
CL-023,유니온에어컨,2025-07,175,71963024
CL-023,유니온에어컨,2025-08,146,58048322
CL-023,유니온에어컨,2025-09,113,52159987
CL-023,유니온에어컨,2025-10,97,41936277
CL-023,유니온에어컨,2025-11,72,35069873
CL-023,유니온에어컨,2025-12,71,33297780
CL-023,유니온에어컨,2026-01,55,33990344
CL-023,유니온에어컨,2026-02,78,35462023
CL-023,유니온에어컨,2026-03,78,32816995
CL-023,유니온에어컨,2026-04,90,40190727
CL-023,유니온에어컨,2026-05,110,46517483
CL-023,유니온에어컨,2026-06,137,56275133
CL-024,대영설치,2024-07,171,64931878
CL-024,대영설치,2024-08,129,56201500
CL-024,대영설치,2024-09,98,43929226
CL-024,대영설치,2024-10,85,38455463
CL-024,대영설치,2024-11,72,32582897
CL-024,대영설치,2024-12,70,32623673
CL-024,대영설치,2025-01,54,23899082
CL-024,대영설치,2025-02,57,22802545
CL-024,대영설치,2025-03,97,41243511
CL-024,대영설치,2025-04,125,46955415
CL-024,대영설치,2025-05,148,55393177
CL-024,대영설치,2025-06,196,88994773
CL-024,대영설치,2025-07,188,75748848
CL-024,대영설치,2025-08,169,69555566
CL-024,대영설치,2025-09,122,51714787
CL-024,대영설치,2025-10,88,44483260
CL-024,대영설치,2025-11,66,23875667
CL-024,대영설치,2025-12,51,29143738
CL-024,대영설치,2026-01,52,31719760
CL-024,대영설치,2026-02,55,28573046
CL-024,대영설치,2026-03,86,37219971
CL-024,대영설치,2026-04,107,42899145
CL-024,대영설치,2026-05,114,51258853
CL-024,대영설치,2026-06,139,54206285
CL-025,백두설비,2024-07,162,68735726
CL-025,백두설비,2024-08,124,43999730
CL-025,백두설비,2024-09,85,33758363
CL-025,백두설비,2024-10,75,32141305
CL-025,백두설비,2024-11,52,23152812
CL-025,백두설비,2024-12,45,17768205
CL-025,백두설비,2025-01,47,20733596
CL-025,백두설비,2025-02,79,27361655
CL-025,백두설비,2025-03,88,34018932
CL-025,백두설비,2025-04,125,51199941
CL-025,백두설비,2025-05,129,49894287
CL-025,백두설비,2025-06,186,77414759
CL-025,백두설비,2025-07,148,61681881
CL-025,백두설비,2025-08,138,62706498
CL-025,백두설비,2025-09,92,38313965
CL-025,백두설비,2025-10,78,30717166
CL-025,백두설비,2025-11,70,32627684
CL-025,백두설비,2025-12,38,14394731
CL-025,백두설비,2026-01,52,24229929
CL-025,백두설비,2026-02,52,21688620
CL-025,백두설비,2026-03,80,31097711
CL-025,백두설비,2026-04,73,33843254
CL-025,백두설비,2026-05,95,36511869
CL-025,백두설비,2026-06,121,48911530
CL-026,파인에어컨,2024-07,128,53974840
CL-026,파인에어컨,2024-08,136,61028598
CL-026,파인에어컨,2024-09,86,35205351
