거래선코드,거래선명,연월,n_orders,total_amount
CL-007,서울시스템에어컨,2025-08,115,51328275
CL-007,서울시스템에어컨,2025-09,83,39579003
CL-007,서울시스템에어컨,2025-10,63,24792238
CL-007,서울시스템에어컨,2025-11,47,26697043
CL-007,서울시스템에어컨,2025-12,56,25588649
CL-007,서울시스템에어컨,2026-01,44,24657320
CL-007,서울시스템에어컨,2026-02,46,28285843
CL-007,서울시스템에어컨,2026-03,77,41772820
CL-007,서울시스템에어컨,2026-04,100,44952962
CL-007,서울시스템에어컨,2026-05,126,56783332
CL-007,서울시스템에어컨,2026-06,137,67057964
CL-008,성심설비,2025-07,151,68818161
CL-008,성심설비,2025-08,124,51036043
CL-008,성심설비,2025-09,90,41072564
CL-008,성심설비,2025-10,70,30974999
CL-008,성심설비,2025-11,53,22326216
CL-008,성심설비,2025-12,50,25490869
CL-008,성심설비,2026-01,48,24466341
CL-008,성심설비,2026-02,51,27242987
CL-008,성심설비,2026-03,75,37304303
CL-008,성심설비,2026-04,109,51131957
CL-008,성심설비,2026-05,116,58736071
CL-008,성심설비,2026-06,171,86597869
CL-009,우진HVAC,2025-07,140,61669892
CL-009,우진HVAC,2025-08,124,59922679
CL-009,우진HVAC,2025-09,91,56746340
CL-009,우진HVAC,2025-10,67,32882802
CL-009,우진HVAC,2025-11,48,30403964
CL-009,우진HVAC,2025-12,43,20636932
CL-009,우진HVAC,2026-01,44,25604976
CL-009,우진HVAC,2026-02,55,25437056
CL-009,우진HVAC,2026-03,74,31571530
CL-009,우진HVAC,2026-04,99,42979924
CL-009,우진HVAC,2026-05,123,59910297
CL-009,우진HVAC,2026-06,162,83871092
CL-010,정우설비산업,2025-07,158,63249335
CL-010,정우설비산업,2025-08,116,61279668
CL-010,정우설비산업,2025-09,88,42448821
CL-010,정우설비산업,2025-10,74,30873093
CL-010,정우설비산업,2025-11,45,21290327
CL-010,정우설비산업,2025-12,47,24980040
CL-010,정우설비산업,2026-01,38,18927715
CL-010,정우설비산업,2026-02,55,30848985
CL-010,정우설비산업,2026-03,82,42052383
CL-010,정우설비산업,2026-04,107,54898890
CL-010,정우설비산업,2026-05,112,57366412
CL-010,정우설비산업,2026-06,154,71860230
CL-011,제일냉난방,2025-07,126,61207618
CL-011,제일냉난방,2025-08,124,52187884
CL-011,제일냉난방,2025-09,82,37036977
CL-011,제일냉난방,2025-10,79,37661938
CL-011,제일냉난방,2025-11,64,38605342
CL-011,제일냉난방,2025-12,41,23576680
CL-011,제일냉난방,2026-01,44,18192764
CL-011,제일냉난방,2026-02,57,22379372
CL-011,제일냉난방,2026-03,82,47937274
CL-011,제일냉난방,2026-04,102,52437325
CL-011,제일냉난방,2026-05,131,61337269
CL-011,제일냉난방,2026-06,157,75642872
CL-012,코엔지니어링,2025-07,155,64711665
CL-012,코엔지니어링,2025-08,108,59770443
CL-012,코엔지니어링,2025-09,81,35815259
CL-012,코엔지니어링,2025-10,57,28414134
CL-012,코엔지니어링,2025-11,51,23488675
CL-012,코엔지니어링,2025-12,42,24353399
CL-012,코엔지니어링,2026-01,33,18092455
CL-012,코엔지니어링,2026-02,40,21390625
CL-012,코엔지니어링,2026-03,76,42222450
CL-012,코엔지니어링,2026-04,99,52125048
CL-012,코엔지니어링,2026-05,103,53264372
CL-012,코엔지니어링,2026-06,144,70955493
CL-013,태평양냉난방,2025-07,148,76494222
CL-013,태평양냉난방,2025-08,110,51836245
CL-013,태평양냉난방,2025-09,81,32054102
CL-013,태평양냉난방,2025-10,53,26675876
CL-013,태평양냉난방,2025-11,56,30101176
CL-013,태평양냉난방,2025-12,42,21330251
CL-013,태평양냉난방,2026-01,31,13931155
CL-013,태평양냉난방,2026-02,48,32076191
CL-013,태평양냉난방,2026-03,77,43642066
CL-013,태평양냉난방,2026-04,89,42931948
CL-013,태평양냉난방,2026-05,112,46080545
CL-013,태평양냉난방,2026-06,143,69984889
CL-014,하나공조상사,2025-07,153,71466006
CL-014,하나공조상사,2025-08,135,65140414
CL-014,하나공조상사,2025-09,77,35419460
CL-014,하나공조상사,2025-10,77,37792982
CL-014,하나공조상사,2025-11,42,23019219
CL-014,하나공조상사,2025-12,45,17816940
CL-014,하나공조상사,2026-01,43,20783828
CL-014,하나공조상사,2026-02,61,34051185
CL-014,하나공조상사,2026-03,87,38910036
CL-014,하나공조상사,2026-04,107,51809840
CL-014,하나공조상사,2026-05,126,64146763
CL-014,하나공조상사,2026-06,144,64247386
CL-015,한일에어시스템,2025-07,160,70993811
CL-015,한일에어시스템,2025-08,121,48057932
CL-015,한일에어시스템,2025-09,99,46586837
CL-015,한일에어시스템,2025-10,73,35410189
CL-015,한일에어시스템,2025-11,59,26494582
CL-015,한일에어시스템,2025-12,42,20911314
CL-015,한일에어시스템,2026-01,48,26843618
CL-015,한일에어시스템,2026-02,67,41352086
CL-015,한일에어시스템,2026-03,68,32382513
CL-015,한일에어시스템,2026-04,91,43196877
CL-015,한일에어시스템,2026-05,121,64627958
CL-015,한일에어시스템,2026-06,174,80834908
